"peaks_file_top1000.chr"	"peaks_file_top1000.abs_summit...peak_size_for_MEME"	"peaks_file_top1000.abs_summit...peak_size_for_MEME.1"	"peaks_file_top1000.name"
"85"	"chr6"	113026627	113027027	"Gran_KDctrl_peak_14270"
"86"	"chr12"	80273433	80273833	"Gran_KDctrl_peak_3902"
"87"	"chr17"	87846295	87846695	"Gran_KDctrl_peak_7987"
"88"	"chr3"	135086120	135086520	"Gran_KDctrl_peak_11324"
"89"	"chr3"	51144979	51145379	"Gran_KDctrl_peak_10678"
"90"	"chr7"	16985232	16985632	"Gran_KDctrl_peak_14752"
"91"	"chr8"	11558079	11558479	"Gran_KDctrl_peak_15970"
"92"	"chr18"	13132057	13132457	"Gran_KDctrl_peak_8100"
"93"	"chr19"	8787951	8788351	"Gran_KDctrl_peak_8676"
"94"	"chr13"	70776691	70777091	"Gran_KDctrl_peak_4808"
"95"	"chr5"	31543096	31543496	"Gran_KDctrl_peak_12735"
"96"	"chr1"	95721849	95722249	"Gran_KDctrl_peak_520"
"97"	"chr8"	73222634	73223034	"Gran_KDctrl_peak_16284"
"98"	"chr18"	5334283	5334683	"Gran_KDctrl_peak_8045"
"99"	"chr15"	102455467	102455867	"Gran_KDctrl_peak_6592"
"100"	"chr2"	26459635	26460035	"Gran_KDctrl_peak_9305"
"101"	"chr1"	34496352	34496752	"Gran_KDctrl_peak_85"
"102"	"chr15"	89259810	89260210	"Gran_KDctrl_peak_6429"
"103"	"chr2"	167174775	167175175	"Gran_KDctrl_peak_10357"
"104"	"chr17"	26056774	26057174	"Gran_KDctrl_peak_7414"
"105"	"chr13"	48641677	48642077	"Gran_KDctrl_peak_4613"
"106"	"chr8"	11555712	11556112	"Gran_KDctrl_peak_15969"
"107"	"chr7"	26052833	26053233	"Gran_KDctrl_peak_14841"
"108"	"chr12"	103943158	103943558	"Gran_KDctrl_peak_4091"
"109"	"chr14"	14845190	14845590	"Gran_KDctrl_peak_5160"
"110"	"chr1"	166065615	166066015	"Gran_KDctrl_peak_934"
"111"	"chr2"	72817588	72817988	"Gran_KDctrl_peak_9634"
"112"	"chr9"	90127742	90128142	"Gran_KDctrl_peak_17397"
"113"	"chr1"	94727927	94728327	"Gran_KDctrl_peak_494"
"114"	"chr10"	4540676	4541076	"Gran_KDctrl_peak_1248"
"115"	"chr11"	3005233	3005633	"Gran_KDctrl_peak_2287"
"116"	"chr5"	46248877	46249277	"Gran_KDctrl_peak_12832"
"117"	"chr8"	124474159	124474559	"Gran_KDctrl_peak_16722"
"118"	"chr2"	112079617	112080017	"Gran_KDctrl_peak_9835"
"119"	"chr7"	19857318	19857718	"Gran_KDctrl_peak_14776"
"120"	"chr13"	81922413	81922813	"Gran_KDctrl_peak_4867"
"121"	"chr11"	115885584	115885984	"Gran_KDctrl_peak_3433"
"122"	"chrX"	160514168	160514568	"Gran_KDctrl_peak_18095"
"123"	"chr9"	21760219	21760619	"Gran_KDctrl_peak_16922"
"124"	"chr1"	133424066	133424466	"Gran_KDctrl_peak_657"
"125"	"chr6"	127511345	127511745	"Gran_KDctrl_peak_14471"
"126"	"chr12"	111684967	111685367	"Gran_KDctrl_peak_4128"
"127"	"chr3"	135101068	135101468	"Gran_KDctrl_peak_11325"
"128"	"chr17"	34740637	34741037	"Gran_KDctrl_peak_7561"
"129"	"chr8"	83263194	83263594	"Gran_KDctrl_peak_16372"
"130"	"chr12"	17697311	17697711	"Gran_KDctrl_peak_3608"
"131"	"chr3"	8923583	8923983	"Gran_KDctrl_peak_10500"
"132"	"chr11"	54968408	54968808	"Gran_KDctrl_peak_2682"
"133"	"chr11"	60351189	60351589	"Gran_KDctrl_peak_2736"
"134"	"chr11"	53608326	53608726	"Gran_KDctrl_peak_2653"
"135"	"chr17"	56395852	56396252	"Gran_KDctrl_peak_7765"
"136"	"chr8"	13287616	13288016	"Gran_KDctrl_peak_15979"
"137"	"chr16"	44724372	44724772	"Gran_KDctrl_peak_6918"
"138"	"chrM"	11438	11838	"Gran_KDctrl_peak_17718"
"139"	"chr10"	96079389	96079789	"Gran_KDctrl_peak_2043"
"140"	"chr15"	68089950	68090350	"Gran_KDctrl_peak_6187"
"141"	"chr7"	4088465	4088865	"Gran_KDctrl_peak_14679"
"142"	"chr17"	13185190	13185590	"Gran_KDctrl_peak_7298"
"143"	"chr4"	33335255	33335655	"Gran_KDctrl_peak_11605"
"144"	"chr5"	5420091	5420491	"Gran_KDctrl_peak_12616"
"145"	"chr5"	136438361	136438761	"Gran_KDctrl_peak_13459"
"146"	"chr5"	142916466	142916866	"Gran_KDctrl_peak_13554"
"147"	"chr12"	53408549	53408949	"Gran_KDctrl_peak_3750"
"148"	"chr9"	100446330	100446730	"Gran_KDctrl_peak_17455"
"149"	"chr1"	75121365	75121765	"Gran_KDctrl_peak_335"
"150"	"chr11"	116976160	116976560	"Gran_KDctrl_peak_3452"
"151"	"chr1"	13362741	13363141	"Gran_KDctrl_peak_34"
"152"	"chr4"	16090714	16091114	"Gran_KDctrl_peak_11555"
"153"	"chr11"	53577085	53577485	"Gran_KDctrl_peak_2649"
"154"	"chr3"	116511015	116511415	"Gran_KDctrl_peak_11223"
"155"	"chr8"	26711849	26712249	"Gran_KDctrl_peak_16050"
"156"	"chr7"	7251064	7251464	"Gran_KDctrl_peak_14717"
"157"	"chr11"	106649723	106650123	"Gran_KDctrl_peak_3315"
"158"	"chr9"	94438637	94439037	"Gran_KDctrl_peak_17415"
"159"	"chr7"	19813462	19813862	"Gran_KDctrl_peak_14773"
"160"	"chr2"	181428276	181428676	"Gran_KDctrl_peak_10494"
"161"	"chr10"	80164680	80165080	"Gran_KDctrl_peak_1827"
"162"	"chr5"	110536958	110537358	"Gran_KDctrl_peak_13190"
"163"	"chr10"	5959346	5959746	"Gran_KDctrl_peak_1261"
"164"	"chr5"	65194263	65194663	"Gran_KDctrl_peak_12887"
"165"	"chr15"	59479818	59480218	"Gran_KDctrl_peak_6113"
"166"	"chr9"	114310186	114310586	"Gran_KDctrl_peak_17605"
"167"	"chr2"	37214491	37214891	"Gran_KDctrl_peak_9441"
"168"	"chr17"	74738071	74738471	"Gran_KDctrl_peak_7880"
"169"	"chr16"	20097460	20097860	"Gran_KDctrl_peak_6733"
"170"	"chr13"	67914717	67915117	"Gran_KDctrl_peak_4801"
"171"	"chr7"	135110562	135110962	"Gran_KDctrl_peak_15731"
"172"	"chr17"	84587157	84587557	"Gran_KDctrl_peak_7959"
"173"	"chr3"	19904427	19904827	"Gran_KDctrl_peak_10555"
"174"	"chr5"	145874983	145875383	"Gran_KDctrl_peak_13595"
"175"	"chr10"	66559112	66559512	"Gran_KDctrl_peak_1667"
"176"	"chr4"	124804893	124805293	"Gran_KDctrl_peak_12183"
"177"	"chr9"	102528478	102528878	"Gran_KDctrl_peak_17463"
"178"	"chr3"	137806484	137806884	"Gran_KDctrl_peak_11358"
"179"	"chr13"	54795306	54795706	"Gran_KDctrl_peak_4676"
"180"	"chr3"	144383184	144383584	"Gran_KDctrl_peak_11406"
"181"	"chr13"	44829006	44829406	"Gran_KDctrl_peak_4591"
"182"	"chrX"	160396123	160396523	"Gran_KDctrl_peak_18093"
"183"	"chr14"	56179339	56179739	"Gran_KDctrl_peak_5468"
"184"	"chr13"	23714161	23714561	"Gran_KDctrl_peak_4434"
"185"	"chr5"	22938976	22939376	"Gran_KDctrl_peak_12676"
"186"	"chr7"	31826968	31827368	"Gran_KDctrl_peak_14951"
"187"	"chr17"	35226068	35226468	"Gran_KDctrl_peak_7573"
"188"	"chr5"	76569347	76569747	"Gran_KDctrl_peak_12964"
"189"	"chr8"	129118292	129118692	"Gran_KDctrl_peak_16795"
"190"	"chr7"	25669214	25669614	"Gran_KDctrl_peak_14823"
"191"	"chr2"	38336647	38337047	"Gran_KDctrl_peak_9447"
"192"	"chr7"	50721008	50721408	"Gran_KDctrl_peak_15004"
"193"	"chr15"	36723146	36723546	"Gran_KDctrl_peak_6002"
"194"	"chr8"	119445352	119445752	"Gran_KDctrl_peak_16646"
"195"	"chr19"	12039866	12040266	"Gran_KDctrl_peak_8723"
"196"	"chrX"	70961562	70961962	"Gran_KDctrl_peak_17877"
"197"	"chr16"	4964267	4964667	"Gran_KDctrl_peak_6623"
"198"	"chr6"	143115394	143115794	"Gran_KDctrl_peak_14592"
"199"	"chr15"	10400099	10400499	"Gran_KDctrl_peak_5892"
"200"	"chr19"	42055593	42055993	"Gran_KDctrl_peak_8942"
"201"	"chr5"	139800963	139801363	"Gran_KDctrl_peak_13510"
"202"	"chr17"	3079361	3079761	"Gran_KDctrl_peak_7205"
"203"	"chr14"	63379995	63380395	"Gran_KDctrl_peak_5538"
"204"	"chr3"	108003293	108003693	"Gran_KDctrl_peak_11169"
"205"	"chr7"	52104198	52104598	"Gran_KDctrl_peak_15028"
"206"	"chr6"	71781166	71781566	"Gran_KDctrl_peak_14018"
"207"	"chr18"	60685680	60686080	"Gran_KDctrl_peak_8336"
"208"	"chr9"	40609006	40609406	"Gran_KDctrl_peak_17006"
"209"	"chr4"	86315477	86315877	"Gran_KDctrl_peak_11883"
"210"	"chr12"	52966890	52967290	"Gran_KDctrl_peak_3748"
"211"	"chr8"	86727536	86727936	"Gran_KDctrl_peak_16413"
"212"	"chr1"	95651276	95651676	"Gran_KDctrl_peak_515"
"213"	"chr1"	66863916	66864316	"Gran_KDctrl_peak_298"
"214"	"chr2"	166888108	166888508	"Gran_KDctrl_peak_10352"
"215"	"chr15"	38230430	38230830	"Gran_KDctrl_peak_6015"
"216"	"chr19"	41922450	41922850	"Gran_KDctrl_peak_8936"
"217"	"chr6"	90554539	90554939	"Gran_KDctrl_peak_14164"
"218"	"chr11"	95170962	95171362	"Gran_KDctrl_peak_3120"
"219"	"chr14"	49065785	49066185	"Gran_KDctrl_peak_5392"
"220"	"chr13"	14155617	14156017	"Gran_KDctrl_peak_4345"
"221"	"chr15"	31279671	31280071	"Gran_KDctrl_peak_5958"
"222"	"chr15"	88692386	88692786	"Gran_KDctrl_peak_6415"
"223"	"chr4"	134409613	134410013	"Gran_KDctrl_peak_12329"
"224"	"chr3"	96066936	96067336	"Gran_KDctrl_peak_11019"
"225"	"chr18"	67884022	67884422	"Gran_KDctrl_peak_8403"
"226"	"chr18"	44988184	44988584	"Gran_KDctrl_peak_8255"
"227"	"chr7"	3644693	3645093	"Gran_KDctrl_peak_14668"
"228"	"chr3"	100489433	100489833	"Gran_KDctrl_peak_11067"
"229"	"chr18"	25327088	25327488	"Gran_KDctrl_peak_8144"
"230"	"chr10"	79724011	79724411	"Gran_KDctrl_peak_1806"
"231"	"chr11"	49057393	49057793	"Gran_KDctrl_peak_2594"
"232"	"chr5"	31350534	31350934	"Gran_KDctrl_peak_12728"
"233"	"chr1"	193220985	193221385	"Gran_KDctrl_peak_1212"
"234"	"chr8"	86590415	86590815	"Gran_KDctrl_peak_16408"
"235"	"chr19"	10599792	10600192	"Gran_KDctrl_peak_8706"
"236"	"chr8"	72149222	72149622	"Gran_KDctrl_peak_16250"
"237"	"chr5"	115966569	115966969	"Gran_KDctrl_peak_13263"
"238"	"chr1"	94076948	94077348	"Gran_KDctrl_peak_483"
"239"	"chr13"	34094078	34094478	"Gran_KDctrl_peak_4495"
"240"	"chr7"	135381649	135382049	"Gran_KDctrl_peak_15739"
"241"	"chr1"	88479152	88479552	"Gran_KDctrl_peak_416"
"242"	"chr18"	82695356	82695756	"Gran_KDctrl_peak_8505"
"243"	"chr10"	12642520	12642920	"Gran_KDctrl_peak_1298"
"244"	"chr3"	157197086	157197486	"Gran_KDctrl_peak_11466"
"245"	"chr12"	33064056	33064456	"Gran_KDctrl_peak_3674"
"246"	"chr3"	60272731	60273131	"Gran_KDctrl_peak_10750"
"247"	"chr16"	13671994	13672394	"Gran_KDctrl_peak_6671"
"248"	"chrX"	7418554	7418954	"Gran_KDctrl_peak_17731"
"249"	"chr6"	124679877	124680277	"Gran_KDctrl_peak_14419"
"250"	"chr11"	78901496	78901896	"Gran_KDctrl_peak_2969"
"251"	"chr4"	117852405	117852805	"Gran_KDctrl_peak_12109"
"252"	"chr14"	68333730	68334130	"Gran_KDctrl_peak_5590"
"253"	"chr13"	17896970	17897370	"Gran_KDctrl_peak_4359"
"254"	"chr8"	27268470	27268870	"Gran_KDctrl_peak_16059"
"255"	"chr13"	21904075	21904475	"Gran_KDctrl_peak_4399"
"256"	"chr10"	86241441	86241841	"Gran_KDctrl_peak_1933"
"257"	"chr5"	93696109	93696509	"Gran_KDctrl_peak_13043"
"258"	"chr10"	59342200	59342600	"Gran_KDctrl_peak_1590"
"259"	"chr8"	75072145	75072545	"Gran_KDctrl_peak_16335"
"260"	"chr7"	121706263	121706663	"Gran_KDctrl_peak_15566"
"261"	"chr10"	19653771	19654171	"Gran_KDctrl_peak_1357"
"262"	"chr4"	148000753	148001153	"Gran_KDctrl_peak_12473"
"263"	"chr3"	102519133	102519533	"Gran_KDctrl_peak_11086"
"264"	"chr7"	144602283	144602683	"Gran_KDctrl_peak_15805"
"265"	"chr6"	128374690	128375090	"Gran_KDctrl_peak_14478"
"266"	"chr11"	85166288	85166688	"Gran_KDctrl_peak_3046"
"267"	"chr5"	124875766	124876166	"Gran_KDctrl_peak_13377"
"268"	"chr6"	86619146	86619546	"Gran_KDctrl_peak_14114"
"269"	"chr9"	107191882	107192282	"Gran_KDctrl_peak_17516"
"270"	"chr15"	38228791	38229191	"Gran_KDctrl_peak_6014"
"271"	"chr3"	40886936	40887336	"Gran_KDctrl_peak_10656"
"272"	"chr7"	17509352	17509752	"Gran_KDctrl_peak_14762"
"273"	"chr2"	26300696	26301096	"Gran_KDctrl_peak_9297"
"274"	"chr8"	97855624	97856024	"Gran_KDctrl_peak_16517"
"275"	"chr8"	73895260	73895660	"Gran_KDctrl_peak_16303"
"276"	"chr6"	134870252	134870652	"Gran_KDctrl_peak_14534"
"277"	"chr10"	80139046	80139446	"Gran_KDctrl_peak_1821"
"278"	"chr3"	79371685	79372085	"Gran_KDctrl_peak_10837"
"279"	"chr10"	79612020	79612420	"Gran_KDctrl_peak_1800"
"280"	"chr11"	61668223	61668623	"Gran_KDctrl_peak_2755"
"281"	"chr15"	103070502	103070902	"Gran_KDctrl_peak_6593"
"282"	"chr12"	82820581	82820981	"Gran_KDctrl_peak_3928"
"283"	"chr11"	120434247	120434647	"Gran_KDctrl_peak_3507"
"284"	"chr18"	65959845	65960245	"Gran_KDctrl_peak_8383"
"285"	"chr1"	140088524	140088924	"Gran_KDctrl_peak_733"
"286"	"chr5"	150438858	150439258	"Gran_KDctrl_peak_13659"
"287"	"chr7"	52252541	52252941	"Gran_KDctrl_peak_15037"
"288"	"chr2"	22629595	22629995	"Gran_KDctrl_peak_9248"
"289"	"chr10"	116661279	116661679	"Gran_KDctrl_peak_2134"
"290"	"chr1"	75165225	75165625	"Gran_KDctrl_peak_337"
"291"	"chr7"	29221386	29221786	"Gran_KDctrl_peak_14892"
"292"	"chr7"	109044717	109045117	"Gran_KDctrl_peak_15439"
"293"	"chr15"	96587964	96588364	"Gran_KDctrl_peak_6475"
"294"	"chr3"	127255782	127256182	"Gran_KDctrl_peak_11270"
"295"	"chrX"	72919328	72919728	"Gran_KDctrl_peak_17899"
"296"	"chr7"	112788823	112789223	"Gran_KDctrl_peak_15478"
"297"	"chr11"	105945488	105945888	"Gran_KDctrl_peak_3293"
"298"	"chr7"	53178354	53178754	"Gran_KDctrl_peak_15068"
"299"	"chr1"	38186491	38186891	"Gran_KDctrl_peak_126"
"300"	"chr7"	31204697	31205097	"Gran_KDctrl_peak_14928"
"301"	"chr6"	86476343	86476743	"Gran_KDctrl_peak_14106"
"302"	"chr10"	79896492	79896892	"Gran_KDctrl_peak_1811"
"303"	"chr14"	76244909	76245309	"Gran_KDctrl_peak_5665"
"304"	"chr15"	76490148	76490548	"Gran_KDctrl_peak_6262"
"305"	"chr4"	144830624	144831024	"Gran_KDctrl_peak_12456"
"306"	"chr5"	25005190	25005590	"Gran_KDctrl_peak_12702"
"307"	"chr19"	5845274	5845674	"Gran_KDctrl_peak_8620"
"308"	"chr11"	77795751	77796151	"Gran_KDctrl_peak_2946"
"309"	"chr14"	52723771	52724171	"Gran_KDctrl_peak_5426"
"310"	"chr2"	32251226	32251626	"Gran_KDctrl_peak_9382"
"311"	"chr10"	79578185	79578585	"Gran_KDctrl_peak_1798"
"312"	"chr1"	99558365	99558765	"Gran_KDctrl_peak_542"
"313"	"chr7"	16633426	16633826	"Gran_KDctrl_peak_14737"
"314"	"chr5"	122581488	122581888	"Gran_KDctrl_peak_13332"
"315"	"chr12"	73186466	73186866	"Gran_KDctrl_peak_3841"
"316"	"chr8"	108160233	108160633	"Gran_KDctrl_peak_16549"
"317"	"chr18"	32070296	32070696	"Gran_KDctrl_peak_8153"
"318"	"chr7"	125387024	125387424	"Gran_KDctrl_peak_15597"
"319"	"chr3"	106524569	106524969	"Gran_KDctrl_peak_11142"
"320"	"chr2"	60010332	60010732	"Gran_KDctrl_peak_9545"
"321"	"chr19"	61021999	61022399	"Gran_KDctrl_peak_9103"
"322"	"chr16"	18811907	18812307	"Gran_KDctrl_peak_6723"
"323"	"chr11"	95666816	95667216	"Gran_KDctrl_peak_3131"
"324"	"chr1"	196957343	196957743	"Gran_KDctrl_peak_1239"
"325"	"chr11"	6288924	6289324	"Gran_KDctrl_peak_2362"
"326"	"chr9"	57408772	57409172	"Gran_KDctrl_peak_17148"
"327"	"chr8"	13785668	13786068	"Gran_KDctrl_peak_15992"
"328"	"chr4"	48055953	48056353	"Gran_KDctrl_peak_11730"
"329"	"chr9"	45714712	45715112	"Gran_KDctrl_peak_17063"
"330"	"chr11"	69209025	69209425	"Gran_KDctrl_peak_2807"
"331"	"chr15"	81296530	81296930	"Gran_KDctrl_peak_6346"
"332"	"chr5"	65352260	65352660	"Gran_KDctrl_peak_12894"
"333"	"chr11"	100181036	100181436	"Gran_KDctrl_peak_3204"
"334"	"chr7"	109358701	109359101	"Gran_KDctrl_peak_15446"
"335"	"chr19"	41904237	41904637	"Gran_KDctrl_peak_8935"
"336"	"chr1"	87960990	87961390	"Gran_KDctrl_peak_398"
"337"	"chr11"	97606012	97606412	"Gran_KDctrl_peak_3164"
"338"	"chr4"	122563181	122563581	"Gran_KDctrl_peak_12154"
"339"	"chr4"	118781206	118781606	"Gran_KDctrl_peak_12117"
"340"	"chr6"	122520993	122521393	"Gran_KDctrl_peak_14380"
"341"	"chr12"	85791940	85792340	"Gran_KDctrl_peak_3965"
"342"	"chr2"	167514426	167514826	"Gran_KDctrl_peak_10369"
"343"	"chr11"	3025392	3025792	"Gran_KDctrl_peak_2289"
"344"	"chr8"	119866903	119867303	"Gran_KDctrl_peak_16664"
"345"	"chr1"	95341887	95342287	"Gran_KDctrl_peak_509"
"346"	"chr7"	28275692	28276092	"Gran_KDctrl_peak_14872"
"347"	"chr11"	23155566	23155966	"Gran_KDctrl_peak_2450"
"348"	"chr1"	88422923	88423323	"Gran_KDctrl_peak_414"
"349"	"chr1"	180248764	180249164	"Gran_KDctrl_peak_1095"
"350"	"chr2"	90921070	90921470	"Gran_KDctrl_peak_9743"
"351"	"chr17"	8340368	8340768	"Gran_KDctrl_peak_7260"
"352"	"chr1"	64168161	64168561	"Gran_KDctrl_peak_277"
"353"	"chr1"	152240025	152240425	"Gran_KDctrl_peak_780"
"354"	"chr14"	35123557	35123957	"Gran_KDctrl_peak_5329"
"355"	"chr6"	21899727	21900127	"Gran_KDctrl_peak_13752"
"356"	"chr4"	102786821	102787221	"Gran_KDctrl_peak_11995"
"357"	"chr2"	32568569	32568969	"Gran_KDctrl_peak_9388"
"358"	"chr14"	57505036	57505436	"Gran_KDctrl_peak_5489"
"359"	"chr2"	30837465	30837865	"Gran_KDctrl_peak_9368"
"360"	"chr3"	58219022	58219422	"Gran_KDctrl_peak_10722"
"361"	"chr1"	107886785	107887185	"Gran_KDctrl_peak_559"
"362"	"chr12"	8647621	8648021	"Gran_KDctrl_peak_3572"
"363"	"chr16"	49855471	49855871	"Gran_KDctrl_peak_6947"
"364"	"chr16"	55934704	55935104	"Gran_KDctrl_peak_6988"
"365"	"chr11"	116714391	116714791	"Gran_KDctrl_peak_3450"
"366"	"chr11"	95275026	95275426	"Gran_KDctrl_peak_3124"
"367"	"chr5"	138070008	138070408	"Gran_KDctrl_peak_13480"
"368"	"chr5"	122286627	122287027	"Gran_KDctrl_peak_13328"
"369"	"chr19"	14672612	14673012	"Gran_KDctrl_peak_8738"
"370"	"chr7"	134352262	134352662	"Gran_KDctrl_peak_15708"
"371"	"chr7"	90014629	90015029	"Gran_KDctrl_peak_15297"
"372"	"chr6"	42299679	42300079	"Gran_KDctrl_peak_13861"
"373"	"chr18"	74938357	74938757	"Gran_KDctrl_peak_8449"
"374"	"chr9"	100935110	100935510	"Gran_KDctrl_peak_17458"
"375"	"chr18"	79453790	79454190	"Gran_KDctrl_peak_8476"
"376"	"chr5"	45841468	45841868	"Gran_KDctrl_peak_12827"
"377"	"chr11"	62364473	62364873	"Gran_KDctrl_peak_2761"
"378"	"chr11"	49063952	49064352	"Gran_KDctrl_peak_2595"
"379"	"chr4"	135841274	135841674	"Gran_KDctrl_peak_12364"
"380"	"chr19"	8815746	8816146	"Gran_KDctrl_peak_8678"
"381"	"chr7"	26066939	26067339	"Gran_KDctrl_peak_14843"
"382"	"chr2"	173935826	173936226	"Gran_KDctrl_peak_10432"
"383"	"chr3"	51905965	51906365	"Gran_KDctrl_peak_10698"
"384"	"chr18"	67934436	67934836	"Gran_KDctrl_peak_8404"
