"peaks_file_top1000.chr"	"peaks_file_top1000.abs_summit...peak_size_for_MEME"	"peaks_file_top1000.abs_summit...peak_size_for_MEME.1"	"peaks_file_top1000.name"
"192"	"chr4"	149382899	149383299	"CMP_KDctrl_peak_7768"
"193"	"chr4"	9632749	9633149	"CMP_KDctrl_peak_7181"
"194"	"chr9"	88614085	88614485	"CMP_KDctrl_peak_10753"
"195"	"chr11"	109721788	109722188	"CMP_KDctrl_peak_2206"
"196"	"chr1"	36996535	36996935	"CMP_KDctrl_peak_76"
"197"	"chr4"	134409545	134409945	"CMP_KDctrl_peak_7674"
"198"	"chr9"	78375229	78375629	"CMP_KDctrl_peak_10730"
"199"	"chr12"	111684656	111685056	"CMP_KDctrl_peak_2681"
"200"	"chr8"	125804290	125804690	"CMP_KDctrl_peak_10336"
"201"	"chr16"	8637414	8637814	"CMP_KDctrl_peak_4150"
"202"	"chr4"	132031783	132032183	"CMP_KDctrl_peak_7626"
"203"	"chr9"	107264396	107264796	"CMP_KDctrl_peak_10827"
"204"	"chr9"	114857509	114857909	"CMP_KDctrl_peak_10892"
"205"	"chr2"	11699665	11700065	"CMP_KDctrl_peak_5676"
"206"	"chr3"	78965218	78965618	"CMP_KDctrl_peak_6716"
"207"	"chr18"	76400881	76401281	"CMP_KDctrl_peak_5271"
"208"	"chr2"	32568398	32568798	"CMP_KDctrl_peak_5798"
"209"	"chr7"	16637446	16637846	"CMP_KDctrl_peak_9148"
"210"	"chr4"	40650007	40650407	"CMP_KDctrl_peak_7226"
"211"	"chr14"	75579321	75579721	"CMP_KDctrl_peak_3618"
"212"	"chr12"	102267182	102267582	"CMP_KDctrl_peak_2641"
"213"	"chr1"	182707869	182708269	"CMP_KDctrl_peak_808"
"214"	"chr1"	132969036	132969436	"CMP_KDctrl_peak_451"
"215"	"chr13"	23622847	23623247	"CMP_KDctrl_peak_2835"
"216"	"chr6"	70805759	70806159	"CMP_KDctrl_peak_8720"
"217"	"chr11"	50191270	50191670	"CMP_KDctrl_peak_1717"
"218"	"chr3"	79091752	79092152	"CMP_KDctrl_peak_6725"
"219"	"chr12"	85328823	85329223	"CMP_KDctrl_peak_2564"
"220"	"chr17"	24103856	24104256	"CMP_KDctrl_peak_4597"
"221"	"chr7"	107854837	107855237	"CMP_KDctrl_peak_9545"
"222"	"chr4"	70207112	70207512	"CMP_KDctrl_peak_7365"
"223"	"chr11"	69209026	69209426	"CMP_KDctrl_peak_1852"
"224"	"chr11"	78901678	78902078	"CMP_KDctrl_peak_1970"
"225"	"chr10"	75139836	75140236	"CMP_KDctrl_peak_1184"
"226"	"chr11"	23977608	23978008	"CMP_KDctrl_peak_1634"
"227"	"chr10"	77471999	77472399	"CMP_KDctrl_peak_1203"
"228"	"chr2"	76207940	76208340	"CMP_KDctrl_peak_5966"
"229"	"chr6"	122520993	122521393	"CMP_KDctrl_peak_8943"
"230"	"chr17"	86883437	86883837	"CMP_KDctrl_peak_5014"
"231"	"chr17"	14004367	14004767	"CMP_KDctrl_peak_4563"
"232"	"chr14"	21514301	21514701	"CMP_KDctrl_peak_3324"
"233"	"chr7"	52494277	52494677	"CMP_KDctrl_peak_9319"
"234"	"chr7"	75278532	75278932	"CMP_KDctrl_peak_9405"
"235"	"chr17"	66203310	66203710	"CMP_KDctrl_peak_4890"
"236"	"chr3"	27588912	27589312	"CMP_KDctrl_peak_6557"
"237"	"chr6"	47827499	47827899	"CMP_KDctrl_peak_8651"
"238"	"chr7"	146627885	146628285	"CMP_KDctrl_peak_9783"
"239"	"chr4"	144830765	144831165	"CMP_KDctrl_peak_7745"
"240"	"chr4"	41315269	41315669	"CMP_KDctrl_peak_7240"
"241"	"chr11"	58793111	58793511	"CMP_KDctrl_peak_1778"
"242"	"chr2"	143717391	143717791	"CMP_KDctrl_peak_6236"
"243"	"chr1"	155290700	155291100	"CMP_KDctrl_peak_582"
"244"	"chr2"	154395390	154395790	"CMP_KDctrl_peak_6318"
"245"	"chr8"	96536192	96536592	"CMP_KDctrl_peak_10163"
"246"	"chr1"	65225313	65225713	"CMP_KDctrl_peak_196"
"247"	"chr1"	193399677	193400077	"CMP_KDctrl_peak_873"
"248"	"chr5"	135947704	135948104	"CMP_KDctrl_peak_8355"
"249"	"chr10"	88193648	88194048	"CMP_KDctrl_peak_1311"
"250"	"chr6"	124755915	124756315	"CMP_KDctrl_peak_8959"
"251"	"chr17"	87846120	87846520	"CMP_KDctrl_peak_5025"
"252"	"chr18"	10029768	10030168	"CMP_KDctrl_peak_5067"
"253"	"chr11"	5662140	5662540	"CMP_KDctrl_peak_1561"
"254"	"chr3"	127483165	127483565	"CMP_KDctrl_peak_7012"
"255"	"chr3"	96049012	96049412	"CMP_KDctrl_peak_6841"
"256"	"chr7"	104936948	104937348	"CMP_KDctrl_peak_9521"
"257"	"chr8"	108120421	108120821	"CMP_KDctrl_peak_10203"
"258"	"chr6"	85087288	85087688	"CMP_KDctrl_peak_8774"
"259"	"chr11"	5402448	5402848	"CMP_KDctrl_peak_1558"
"260"	"chr1"	154657695	154658095	"CMP_KDctrl_peak_578"
"261"	"chr6"	112646254	112646654	"CMP_KDctrl_peak_8870"
"262"	"chr8"	108351146	108351546	"CMP_KDctrl_peak_10209"
"263"	"chr15"	98860318	98860718	"CMP_KDctrl_peak_4097"
"264"	"chr6"	83744798	83745198	"CMP_KDctrl_peak_8770"
"265"	"chr17"	34164316	34164716	"CMP_KDctrl_peak_4692"
"266"	"chr2"	145039882	145040282	"CMP_KDctrl_peak_6253"
"267"	"chr14"	67487506	67487906	"CMP_KDctrl_peak_3555"
"268"	"chr4"	133330504	133330904	"CMP_KDctrl_peak_7646"
"269"	"chr8"	64492980	64493380	"CMP_KDctrl_peak_10033"
"270"	"chr19"	5803138	5803538	"CMP_KDctrl_peak_5368"
"271"	"chr6"	85401402	85401802	"CMP_KDctrl_peak_8779"
"272"	"chrX"	7709356	7709756	"CMP_KDctrl_peak_10960"
"273"	"chr8"	93489413	93489813	"CMP_KDctrl_peak_10154"
"274"	"chr1"	75517984	75518384	"CMP_KDctrl_peak_228"
"275"	"chr3"	106524743	106525143	"CMP_KDctrl_peak_6920"
"276"	"chr4"	124387910	124388310	"CMP_KDctrl_peak_7558"
"277"	"chr17"	71351620	71352020	"CMP_KDctrl_peak_4912"
"278"	"chr1"	37401142	37401542	"CMP_KDctrl_peak_78"
"279"	"chr11"	60988506	60988906	"CMP_KDctrl_peak_1806"
"280"	"chr17"	15911135	15911535	"CMP_KDctrl_peak_4570"
"281"	"chr13"	115177919	115178319	"CMP_KDctrl_peak_3264"
"282"	"chr10"	22073881	22074281	"CMP_KDctrl_peak_995"
"283"	"chr3"	105698101	105698501	"CMP_KDctrl_peak_6912"
"284"	"chr13"	54605055	54605455	"CMP_KDctrl_peak_3020"
"285"	"chr7"	134489389	134489789	"CMP_KDctrl_peak_9707"
"286"	"chr3"	154259643	154260043	"CMP_KDctrl_peak_7148"
"287"	"chr2"	146785053	146785453	"CMP_KDctrl_peak_6267"
"288"	"chr14"	70575314	70575714	"CMP_KDctrl_peak_3578"
"289"	"chr15"	41615826	41616226	"CMP_KDctrl_peak_3828"
"290"	"chr4"	134290431	134290831	"CMP_KDctrl_peak_7670"
"291"	"chr16"	11729191	11729591	"CMP_KDctrl_peak_4167"
"292"	"chr16"	91367241	91367641	"CMP_KDctrl_peak_4436"
"293"	"chr11"	11361760	11362160	"CMP_KDctrl_peak_1583"
"294"	"chr8"	111116113	111116513	"CMP_KDctrl_peak_10229"
"295"	"chr15"	75717787	75718187	"CMP_KDctrl_peak_3941"
"296"	"chr7"	83556817	83557217	"CMP_KDctrl_peak_9440"
"297"	"chr18"	89030840	89031240	"CMP_KDctrl_peak_5323"
"298"	"chr1"	178757989	178758389	"CMP_KDctrl_peak_762"
"299"	"chr5"	3343981	3344381	"CMP_KDctrl_peak_7847"
"300"	"chr10"	77068821	77069221	"CMP_KDctrl_peak_1200"
"301"	"chr7"	19763940	19764340	"CMP_KDctrl_peak_9169"
"302"	"chr2"	79094991	79095391	"CMP_KDctrl_peak_5972"
"303"	"chr19"	47142547	47142947	"CMP_KDctrl_peak_5586"
"304"	"chr11"	16902510	16902910	"CMP_KDctrl_peak_1598"
"305"	"chr1"	175564182	175564582	"CMP_KDctrl_peak_744"
"306"	"chr17"	7165560	7165960	"CMP_KDctrl_peak_4535"
"307"	"chr9"	114696850	114697250	"CMP_KDctrl_peak_10889"
"308"	"chr11"	3093004	3093404	"CMP_KDctrl_peak_1536"
"309"	"chr6"	39155217	39155617	"CMP_KDctrl_peak_8623"
"310"	"chr4"	153620671	153621071	"CMP_KDctrl_peak_7814"
"311"	"chr5"	98166347	98166747	"CMP_KDctrl_peak_8112"
"312"	"chr15"	91463448	91463848	"CMP_KDctrl_peak_4053"
"313"	"chr5"	130712214	130712614	"CMP_KDctrl_peak_8340"
"314"	"chr14"	61376489	61376889	"CMP_KDctrl_peak_3509"
"315"	"chr1"	154634047	154634447	"CMP_KDctrl_peak_576"
"316"	"chr2"	181288552	181288952	"CMP_KDctrl_peak_6488"
"317"	"chr2"	79920558	79920958	"CMP_KDctrl_peak_5976"
"318"	"chr11"	87275871	87276271	"CMP_KDctrl_peak_2025"
"319"	"chr2"	103637262	103637662	"CMP_KDctrl_peak_6050"
"320"	"chr8"	97447302	97447702	"CMP_KDctrl_peak_10175"
"321"	"chr2"	145714023	145714423	"CMP_KDctrl_peak_6260"
"322"	"chr11"	60351189	60351589	"CMP_KDctrl_peak_1796"
"323"	"chr4"	131901254	131901654	"CMP_KDctrl_peak_7623"
"324"	"chr19"	5572169	5572569	"CMP_KDctrl_peak_5358"
"325"	"chr14"	52934035	52934435	"CMP_KDctrl_peak_3449"
"326"	"chr2"	112079451	112079851	"CMP_KDctrl_peak_6065"
"327"	"chr17"	37407193	37407593	"CMP_KDctrl_peak_4746"
"328"	"chr3"	58496006	58496406	"CMP_KDctrl_peak_6659"
"329"	"chr18"	84256926	84257326	"CMP_KDctrl_peak_5316"
"330"	"chr10"	116661133	116661533	"CMP_KDctrl_peak_1422"
"331"	"chr8"	119445390	119445790	"CMP_KDctrl_peak_10274"
"332"	"chr11"	78059253	78059653	"CMP_KDctrl_peak_1960"
"333"	"chr5"	135662784	135663184	"CMP_KDctrl_peak_8353"
"334"	"chr11"	30098187	30098587	"CMP_KDctrl_peak_1651"
"335"	"chr6"	136752483	136752883	"CMP_KDctrl_peak_9049"
"336"	"chr4"	123102917	123103317	"CMP_KDctrl_peak_7553"
"337"	"chr10"	53608270	53608670	"CMP_KDctrl_peak_1090"
"338"	"chr1"	139648050	139648450	"CMP_KDctrl_peak_525"
"339"	"chr1"	173290934	173291334	"CMP_KDctrl_peak_719"
"340"	"chr1"	158916447	158916847	"CMP_KDctrl_peak_621"
"341"	"chr17"	13153166	13153566	"CMP_KDctrl_peak_4559"
"342"	"chr14"	122327832	122328232	"CMP_KDctrl_peak_3730"
"343"	"chr2"	68699200	68699600	"CMP_KDctrl_peak_5908"
"344"	"chr3"	103605770	103606170	"CMP_KDctrl_peak_6899"
"345"	"chr2"	103446067	103446467	"CMP_KDctrl_peak_6046"
"346"	"chr10"	29081590	29081990	"CMP_KDctrl_peak_1008"
"347"	"chr4"	32376922	32377322	"CMP_KDctrl_peak_7215"
"348"	"chr11"	3025393	3025793	"CMP_KDctrl_peak_1530"
"349"	"chr7"	132615626	132616026	"CMP_KDctrl_peak_9670"
"350"	"chr10"	93661625	93662025	"CMP_KDctrl_peak_1346"
"351"	"chr2"	75656813	75657213	"CMP_KDctrl_peak_5963"
"352"	"chr16"	31234009	31234409	"CMP_KDctrl_peak_4276"
"353"	"chr7"	26022974	26023374	"CMP_KDctrl_peak_9210"
"354"	"chr3"	157197085	157197485	"CMP_KDctrl_peak_7150"
"355"	"chr9"	75281967	75282367	"CMP_KDctrl_peak_10708"
"356"	"chr12"	114313068	114313468	"CMP_KDctrl_peak_2716"
"357"	"chr6"	82822218	82822618	"CMP_KDctrl_peak_8755"
"358"	"chr11"	116714335	116714735	"CMP_KDctrl_peak_2255"
"359"	"chr8"	91143121	91143521	"CMP_KDctrl_peak_10148"
"360"	"chr17"	47314511	47314911	"CMP_KDctrl_peak_4790"
"361"	"chr3"	96291926	96292326	"CMP_KDctrl_peak_6847"
"362"	"chr17"	90984047	90984447	"CMP_KDctrl_peak_5043"
"363"	"chr4"	129349596	129349996	"CMP_KDctrl_peak_7599"
"364"	"chr7"	35098172	35098572	"CMP_KDctrl_peak_9272"
"365"	"chr13"	21904075	21904475	"CMP_KDctrl_peak_2816"
"366"	"chr8"	109572358	109572758	"CMP_KDctrl_peak_10223"
"367"	"chr3"	122043198	122043598	"CMP_KDctrl_peak_6987"
"368"	"chr12"	56403794	56404194	"CMP_KDctrl_peak_2460"
"369"	"chr12"	60320523	60320923	"CMP_KDctrl_peak_2473"
"370"	"chr17"	86753133	86753533	"CMP_KDctrl_peak_5012"
"371"	"chr1"	54982836	54983236	"CMP_KDctrl_peak_146"
"372"	"chr15"	79572457	79572857	"CMP_KDctrl_peak_3982"
"373"	"chr16"	90435505	90435905	"CMP_KDctrl_peak_4427"
"374"	"chr8"	91279243	91279643	"CMP_KDctrl_peak_10150"
"375"	"chr17"	73651117	73651517	"CMP_KDctrl_peak_4932"
"376"	"chrX"	20538673	20539073	"CMP_KDctrl_peak_10993"
"377"	"chr2"	136716739	136717139	"CMP_KDctrl_peak_6228"
"378"	"chr1"	80022509	80022909	"CMP_KDctrl_peak_239"
"379"	"chr7"	139802298	139802698	"CMP_KDctrl_peak_9754"
"380"	"chr15"	41596303	41596703	"CMP_KDctrl_peak_3826"
"381"	"chr17"	25384940	25385340	"CMP_KDctrl_peak_4616"
"382"	"chr2"	25282316	25282716	"CMP_KDctrl_peak_5735"
"383"	"chr4"	63005281	63005681	"CMP_KDctrl_peak_7353"
"384"	"chr8"	129226265	129226665	"CMP_KDctrl_peak_10370"
"385"	"chr1"	120276929	120277329	"CMP_KDctrl_peak_409"
