# This file is generated by MACS version 2.1.0.20150420,,,,,,,,,
# Command line: callpeak -t /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R2.q30.fixed.dedup.bam -c /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C2.q30.fixed.dedup.bam -f BAMPE -g mm -n CMP_KDctrl -q 0.05 --outdir /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/peaks -B,,,,,,,,,
# ARGUMENTS LIST:,,,,,,,,,
# name = CMP_KDctrl,,,,,,,,,
# format = BAMPE,,,,,,,,,
# ChIP-seq file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R2.q30.fixed.dedup.bam'],,,,,,,,,
# control file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C2.q30.fixed.dedup.bam'],,,,,,,,,
# effective genome size = 1.87e+09,,,,,,,,,
# band width = 300,,,,,,,,,
"# model fold = [5, 50]",,,,,,,,,
# qvalue cutoff = 5.00e-02,,,,,,,,,
# Larger dataset will be scaled towards smaller dataset.,,,,,,,,,
# Range for calculating regional lambda is: 1000 bps and 10000 bps,,,,,,,,,
# Broad region calling is off,,,,,,,,,
,,,,,,,,,
# fragment size is determined as 235 bps,,,,,,,,,
# total fragments in treatment: 18288398,,,,,,,,,
# fragments after filtering in treatment: 17280844,,,,,,,,,
# maximum duplicate fragments in treatment = 1,,,,,,,,,
# Redundant rate in treatment: 0.06,,,,,,,,,
# total fragments in control: 14850457,,,,,,,,,
# fragments after filtering in control: 14040448,,,,,,,,,
# maximum duplicate fragments in control = 1,,,,,,,,,
# Redundant rate in control: 0.05,,,,,,,,,
# d = 235,,,,,,,,,
chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,13209808,13210124,317,13209851,14,5.09869,3.19668,2.20775,CMP_KDctrl_peak_18
chr1,13287201,13287489,289,13287454,19,6.30555,3.26826,3.22203,CMP_KDctrl_peak_19
chr1,13362712,13363197,486,13362719,344,6.95474,1.33599,3.78038,CMP_KDctrl_peak_20
chr1,13372903,13373210,308,13372964,11,4.79515,3.36814,1.95516,CMP_KDctrl_peak_21
chr1,13485430,13485781,352,13485432,12,3.9818,2.81663,1.3042,CMP_KDctrl_peak_22
chr1,13591803,13592072,270,13591975,24,7.03592,3.14796,3.84681,CMP_KDctrl_peak_23
chr1,15795775,15796063,289,15795775,250,4.75134,1.30884,1.92518,CMP_KDctrl_peak_24
chr1,16094539,16095792,1254,16095669,236,19.71658,1.9282,15.17438,CMP_KDctrl_peak_25
chr1,16210181,16210495,315,16210465,33,6.56427,2.55487,3.44387,CMP_KDctrl_peak_26
chr1,16218560,16218797,238,16218560,88,4.06371,1.51239,1.36613,CMP_KDctrl_peak_27
chr1,16508938,16509189,252,16509091,101,4.85263,1.54363,2.00432,CMP_KDctrl_peak_28
chr1,16509443,16509822,380,16509448,138,5.03633,1.46077,2.15518,CMP_KDctrl_peak_29
chr1,16608029,16608274,246,16608029,66,4.03557,1.60995,1.34786,CMP_KDctrl_peak_30
chr1,16627852,16628112,261,16627852,36,4.02428,1.90116,1.33932,CMP_KDctrl_peak_31
chr1,16678481,16678828,348,16678532,222,14.53638,1.76228,10.4777,CMP_KDctrl_peak_32
chr1,17135457,17135718,262,17135683,125,6.23067,1.57953,3.1607,CMP_KDctrl_peak_33
chr1,17441429,17441951,523,17441481,28,6.80626,2.83454,3.65286,CMP_KDctrl_peak_34
chr1,17596814,17597389,576,17596826,74,5.60405,1.75042,2.62938,CMP_KDctrl_peak_35
chr1,17598272,17598593,322,17598592,215,5.54959,1.37847,2.58297,CMP_KDctrl_peak_36
chr1,20880762,20881127,366,20880878,161,8.05194,1.60047,4.72945,CMP_KDctrl_peak_37
chr1,21093799,21094067,269,21094013,19,8.56048,4.26224,5.17117,CMP_KDctrl_peak_38
chr1,21950767,21951374,608,21951127,194,6.86759,1.47217,3.70677,CMP_KDctrl_peak_39
chr1,23263197,23263626,430,23263297,212,4.24441,1.3128,1.5058,CMP_KDctrl_peak_40
chr1,23386851,23387422,572,23387149,163,9.36181,1.66951,5.87488,CMP_KDctrl_peak_41
chr1,23928764,23929058,295,23928942,143,7.13612,1.59084,3.93433,CMP_KDctrl_peak_42
chr1,24593953,24594200,248,24593956,42,4.8077,1.96137,1.96642,CMP_KDctrl_peak_43
chr1,26640726,26640967,242,26640847,24,5.45019,2.62262,2.50136,CMP_KDctrl_peak_44
chr1,26641267,26641617,351,26641300,24,4.97531,2.47257,2.10354,CMP_KDctrl_peak_45
chr1,28104663,28104910,248,28104793,34,11.21512,3.72823,7.51048,CMP_KDctrl_peak_46
chr1,30930195,30930764,570,30930762,261,5.52872,1.33619,2.56466,CMP_KDctrl_peak_47
chr1,31000120,31000450,331,31000236,21,7.54222,3.58661,4.28587,CMP_KDctrl_peak_48
chr1,31005904,31006254,351,31006251,274,4.27577,1.27117,1.53307,CMP_KDctrl_peak_49
chr1,33726784,33727161,378,33726792,151,7.91864,1.61832,4.61083,CMP_KDctrl_peak_50
chr1,33795912,33796326,415,33796325,73,4.54495,1.63325,1.75304,CMP_KDctrl_peak_51
chr1,33870833,33871337,505,33871253,179,12.49486,1.78759,8.6477,CMP_KDctrl_peak_52
chr1,34491287,34491614,328,34491612,74,5.17945,1.70154,2.27757,CMP_KDctrl_peak_53
chr1,34496306,34496599,294,34496306,315,5.7064,1.30784,2.71487,CMP_KDctrl_peak_54
chr1,34516636,34517115,480,34516637,78,4.24241,1.57272,1.50436,CMP_KDctrl_peak_55
chr1,34529602,34530001,400,34529610,200,6.94478,1.46713,3.7715,CMP_KDctrl_peak_56
chr1,34546886,34547149,264,34547126,83,6.21496,1.75843,3.14725,CMP_KDctrl_peak_57
chr1,34858233,34859185,953,34858656,127,5.99696,1.55657,2.96408,CMP_KDctrl_peak_58
chr1,35905111,35905650,540,35905231,13,6.25113,3.92949,3.17474,CMP_KDctrl_peak_59
chr1,36125271,36125823,553,36125274,164,4.24239,1.36361,1.50436,CMP_KDctrl_peak_60
chr1,36219120,36219592,473,36219586,41,4.48639,1.91576,1.70455,CMP_KDctrl_peak_61
chr1,36229830,36230142,313,36230002,21,13.12102,6.17492,9.20688,CMP_KDctrl_peak_62
chr1,36287977,36288256,280,36287984,29,4.46695,2.15466,1.69056,CMP_KDctrl_peak_63
chr1,36290133,36290386,254,36290281,30,10.09098,3.69719,6.51672,CMP_KDctrl_peak_64
chr1,36354013,36354289,277,36354016,24,4.15084,2.2187,1.4287,CMP_KDctrl_peak_65
chr1,36364220,36365165,946,36364898,277,25.70241,2.02009,20.67698,CMP_KDctrl_peak_66
chr1,36366068,36366592,525,36366587,90,6.73744,1.76828,3.59451,CMP_KDctrl_peak_67
chr1,36425550,36425979,430,36425979,97,4.03409,1.47965,1.34653,CMP_KDctrl_peak_68
chr1,36568743,36569415,673,36568743,155,4.64834,1.40344,1.83946,CMP_KDctrl_peak_69
chr1,36591494,36591855,362,36591808,25,8.64919,3.63436,5.24818,CMP_KDctrl_peak_70
chr1,36613633,36614035,403,36614013,61,6.56319,1.98558,3.44353,CMP_KDctrl_peak_71
chr1,36775863,36776288,426,36775863,27,4.07133,2.10401,1.37133,CMP_KDctrl_peak_72
chr1,36841834,36842187,354,36841862,34,7.02431,2.63002,3.83714,CMP_KDctrl_peak_73
chr1,36931947,36932197,251,36931959,67,6.01031,1.85322,2.97525,CMP_KDctrl_peak_74
chr1,36971216,36971677,462,36971450,14,4.3405,2.82605,1.5857,CMP_KDctrl_peak_75
chr1,36996534,36997051,518,36996735,155,18.77122,2.23099,14.31494,CMP_KDctrl_peak_76
chr1,37356806,37357547,742,37356814,71,5.25539,1.7301,2.34215,CMP_KDctrl_peak_77
chr1,37401199,37401574,376,37401342,45,17.46445,4.54954,13.1251,CMP_KDctrl_peak_78
chr1,37486680,37487494,815,37486891,138,4.90489,1.45138,2.04629,CMP_KDctrl_peak_79
chr1,37531173,37531518,346,37531182,31,5.25775,2.29831,2.34371,CMP_KDctrl_peak_80
chr1,37535594,37536075,482,37536049,81,4.38144,1.57457,1.62142,CMP_KDctrl_peak_81
chr1,37538191,37538504,314,37538225,20,6.37843,3.21172,3.28503,CMP_KDctrl_peak_82
chr1,37543857,37544091,235,37543958,38,6.48747,2.38024,3.3798,CMP_KDctrl_peak_83
chr1,37552757,37553264,508,37552975,44,12.23075,3.38145,8.41058,CMP_KDctrl_peak_84
chr1,37618723,37619280,558,37619053,68,11.36058,2.51256,7.63888,CMP_KDctrl_peak_85
chr1,37670754,37671079,326,37671071,17,5.03373,2.90031,2.15276,CMP_KDctrl_peak_86
chr1,37747734,37748028,295,37747941,26,5.09933,2.42735,2.20815,CMP_KDctrl_peak_87
chr1,38054284,38054768,485,38054284,128,4.46917,1.43946,1.69256,CMP_KDctrl_peak_88
chr1,38259794,38260089,296,38259817,13,6.25113,3.92949,3.17474,CMP_KDctrl_peak_89
chr1,38684233,38684624,392,38684340,64,4.9462,1.74224,2.07965,CMP_KDctrl_peak_90
chr1,38751119,38751418,300,38751163,108,4.82439,1.51873,1.98065,CMP_KDctrl_peak_91
chr1,38834521,38834776,256,38834595,76,10.93564,2.3333,7.26222,CMP_KDctrl_peak_92
chr1,39370421,39370723,303,39370680,19,7.47347,3.76806,4.22603,CMP_KDctrl_peak_93
chr1,39506690,39507335,646,39507249,26,6.98389,2.99995,3.80448,CMP_KDctrl_peak_94
chr1,39549981,39550705,725,39550365,27,7.53363,3.11106,4.27799,CMP_KDctrl_peak_95
chr1,39560034,39560543,510,39560269,104,4.9503,1.54235,2.08318,CMP_KDctrl_peak_96
chr1,39592655,39592928,274,39592655,108,3.98106,1.44442,1.30399,CMP_KDctrl_peak_97
chr1,39633620,39634183,564,39634176,156,5.42856,1.45264,2.48451,CMP_KDctrl_peak_98
chr1,39635329,39636180,852,39635598,51,9.4136,2.59,5.92001,CMP_KDctrl_peak_99
chr1,39671527,39671823,297,39671708,31,6.95787,2.73464,3.78288,CMP_KDctrl_peak_100
chr1,39792865,39793109,245,39793095,31,4.74459,2.17116,1.91944,CMP_KDctrl_peak_101
chr1,39841219,39841657,439,39841530,17,6.52951,3.56485,3.41486,CMP_KDctrl_peak_102
chr1,39950159,39950420,262,39950332,27,6.30274,2.7368,3.21975,CMP_KDctrl_peak_103
chr1,39988912,39989814,903,39989366,54,13.68055,3.23524,9.70889,CMP_KDctrl_peak_104
chr1,40138318,40138561,244,40138342,21,4.28896,2.38012,1.54393,CMP_KDctrl_peak_105
chr1,40349234,40349643,410,40349333,23,9.38289,4.11647,5.89347,CMP_KDctrl_peak_106
chr1,40351427,40351727,301,40351710,67,5.52824,1.79307,2.56421,CMP_KDctrl_peak_107
chr1,40381584,40382266,683,40381803,25,5.68405,2.6472,2.69619,CMP_KDctrl_peak_108
chr1,40412289,40412863,575,40412859,103,4.74912,1.52766,1.92332,CMP_KDctrl_peak_109
chr1,42801839,42802102,264,42802088,24,4.43367,2.30493,1.66491,CMP_KDctrl_peak_110
chr1,43311207,43311453,247,43311214,35,5.28855,2.19715,2.36731,CMP_KDctrl_peak_111
chr1,43502278,43503090,813,43502470,118,4.29033,1.44712,1.54488,CMP_KDctrl_peak_112
chr1,43524015,43524653,639,43524581,65,6.18776,1.89401,3.1235,CMP_KDctrl_peak_113
chr1,43825312,43825667,356,43825490,13,6.25113,3.92949,3.17474,CMP_KDctrl_peak_114
chr1,43867995,43868819,825,43868050,61,6.59646,1.99009,3.47099,CMP_KDctrl_peak_115
chr1,43870846,43871364,519,43871120,25,7.44193,3.21533,4.19884,CMP_KDctrl_peak_116
chr1,43996187,43996993,807,43996505,16,7.89065,4.36753,4.58613,CMP_KDctrl_peak_117
chr1,44098930,44099413,484,44099117,70,6.90555,1.93498,3.73871,CMP_KDctrl_peak_118
chr1,44176359,44176646,288,44176507,155,7.108,1.55901,3.90954,CMP_KDctrl_peak_119
chr1,45981579,45982363,785,45982363,94,4.33831,1.51904,1.58521,CMP_KDctrl_peak_120
chr1,51556890,51557207,318,51557203,17,4.1087,2.51609,1.39922,CMP_KDctrl_peak_121
chr1,51596661,51596905,245,51596662,53,4.02267,1.69973,1.33824,CMP_KDctrl_peak_122
chr1,52078961,52079262,302,52079202,68,7.11412,1.9801,3.91496,CMP_KDctrl_peak_123
chr1,52186761,52187186,426,52186874,34,11.77202,3.88883,8.00281,CMP_KDctrl_peak_124
chr1,52198454,52199158,705,52198551,47,9.54746,2.72485,6.0374,CMP_KDctrl_peak_125
chr1,52288993,52289975,983,52289960,292,13.38885,1.59415,9.44688,CMP_KDctrl_peak_126
chr1,52635267,52635644,378,52635475,94,8.07347,1.86835,4.74836,CMP_KDctrl_peak_127
chr1,52687652,52687906,255,52687657,123,5.35306,1.5193,2.42068,CMP_KDctrl_peak_128
chr1,52759856,52760189,334,52760147,69,7.43507,2.0088,4.19313,CMP_KDctrl_peak_129
chr1,52783496,52784146,651,52783812,112,5.8056,1.58808,2.79826,CMP_KDctrl_peak_130
chr1,52856473,52856902,430,52856749,80,9.5907,2.13587,6.07583,CMP_KDctrl_peak_131
chr1,52874067,52874458,392,52874457,163,4.41625,1.37635,1.6512,CMP_KDctrl_peak_132
chr1,53397708,53398185,478,53398073,28,12.93224,4.89604,9.03869,CMP_KDctrl_peak_133
chr1,53760342,53761167,826,53760748,35,9.26566,3.14089,5.79177,CMP_KDctrl_peak_134
chr1,53874913,53875432,520,53875162,62,4.85822,1.74624,2.00886,CMP_KDctrl_peak_135
chr1,53895112,53895392,281,53895230,18,5.22791,2.90584,2.31795,CMP_KDctrl_peak_136
chr1,53902039,53902482,444,53902349,38,4.68086,2.00392,1.86633,CMP_KDctrl_peak_137
chr1,53907955,53908700,746,53908275,200,30.87117,2.55921,25.56256,CMP_KDctrl_peak_138
chr1,53939277,53939855,579,53939559,27,9.95788,3.91392,6.39801,CMP_KDctrl_peak_139
chr1,53962664,53963094,431,53962979,16,6.41219,3.6229,3.31371,CMP_KDctrl_peak_140
chr1,53966300,53966967,668,53966350,23,6.79801,3.13626,3.64682,CMP_KDctrl_peak_141
chr1,54642906,54643177,272,54642988,44,7.24086,2.37685,4.02616,CMP_KDctrl_peak_142
chr1,54921978,54922359,382,54922224,44,9.70447,2.85361,6.17653,CMP_KDctrl_peak_143
chr1,54953521,54953764,244,54953757,32,6.59587,2.59996,3.47056,CMP_KDctrl_peak_144
chr1,54980533,54980798,266,54980587,29,5.24825,2.3596,2.33545,CMP_KDctrl_peak_145
chr1,54982607,54983138,532,54983036,130,16.18553,2.24264,11.96437,CMP_KDctrl_peak_146
chr1,55085950,55086544,595,55085950,89,4.10951,1.51356,1.39922,CMP_KDctrl_peak_147
chr1,55249839,55250364,526,55249840,17,4.68427,2.7529,1.86798,CMP_KDctrl_peak_148
chr1,57029296,57030167,872,57030161,77,5.79302,1.75163,2.78702,CMP_KDctrl_peak_149
chr1,57493497,57493999,503,57493529,20,5.05047,2.70293,2.16686,CMP_KDctrl_peak_150
chr1,58169918,58170355,438,58170034,31,6.70741,2.66868,3.56786,CMP_KDctrl_peak_151
chr1,58170930,58171828,899,58171635,22,4.45447,2.39196,1.68002,CMP_KDctrl_peak_152
chr1,58348521,58349122,602,58348591,18,9.16677,4.70649,5.70397,CMP_KDctrl_peak_153
chr1,58450083,58450550,468,58450190,118,8.4587,1.76991,5.0845,CMP_KDctrl_peak_154
chr1,58465151,58465405,255,58465379,11,4.79515,3.36814,1.95516,CMP_KDctrl_peak_155
chr1,58474567,58474998,432,58474885,15,5.90217,3.48848,2.88161,CMP_KDctrl_peak_156
chr1,58480204,58480882,679,58480876,142,9.62664,1.75209,6.10836,CMP_KDctrl_peak_157
chr1,58660481,58660795,315,58660719,41,4.77479,1.97109,1.94541,CMP_KDctrl_peak_158
chr1,58674927,58675234,308,58675230,55,5.82336,1.95171,2.81368,CMP_KDctrl_peak_159
chr1,58726322,58726582,261,58726559,18,4.60781,2.65588,1.80506,CMP_KDctrl_peak_160
chr1,58768427,58769471,1045,58769237,124,15.4974,2.24134,11.34333,CMP_KDctrl_peak_161
chr1,58772984,58773391,408,58773156,47,15.55565,3.95061,11.3957,CMP_KDctrl_peak_162
chr1,58776921,58777783,863,58777431,35,10.14142,3.36782,6.55944,CMP_KDctrl_peak_163
chr1,58783981,58784216,236,58784000,23,5.4287,2.66663,2.48451,CMP_KDctrl_peak_164
chr1,58799998,58800237,240,58800221,72,5.08957,1.70374,2.20139,CMP_KDctrl_peak_165
chr1,59010761,59011011,251,59010783,74,5.38838,1.72564,2.44959,CMP_KDctrl_peak_166
chr1,59176726,59177226,501,59176929,119,7.79383,1.71614,4.50439,CMP_KDctrl_peak_167
chr1,59243096,59243514,419,59243337,47,12.51879,3.30154,8.66908,CMP_KDctrl_peak_168
chr1,59294320,59294882,563,59294324,88,4.53785,1.56138,1.74673,CMP_KDctrl_peak_169
chr1,59650403,59651026,624,59650540,30,9.26988,3.44439,5.7954,CMP_KDctrl_peak_170
chr1,59820428,59820966,539,59820610,89,4.37433,1.54075,1.6156,CMP_KDctrl_peak_171
chr1,59963841,59964155,315,59964155,44,4.08053,1.79997,1.37917,CMP_KDctrl_peak_172
chr1,59970312,59970947,636,59970856,157,13.50173,1.92139,9.54747,CMP_KDctrl_peak_173
chr1,60073035,60073882,848,60073438,29,5.26333,2.3636,2.34737,CMP_KDctrl_peak_174
chr1,60153737,60153979,243,60153871,33,7.82225,2.87009,4.529,CMP_KDctrl_peak_175
chr1,60154596,60155413,818,60155120,176,5.2951,1.4125,2.3733,CMP_KDctrl_peak_176
chr1,60657754,60658033,280,60657763,24,4.43367,2.30493,1.66491,CMP_KDctrl_peak_177
chr1,60684488,60684797,310,60684504,74,6.7908,1.88585,3.64043,CMP_KDctrl_peak_178
chr1,60802694,60803144,451,60802703,59,4.50674,1.72183,1.72128,CMP_KDctrl_peak_179
chr1,60860467,60861669,1203,60860885,53,8.51073,2.39587,5.13112,CMP_KDctrl_peak_180
chr1,60970054,60970301,248,60970114,20,4.02692,2.3333,1.34026,CMP_KDctrl_peak_181
chr1,60997861,60998627,767,60998253,50,7.32208,2.26276,4.09617,CMP_KDctrl_peak_182
chr1,61817984,61818275,292,61818007,36,7.97961,2.7803,4.66482,CMP_KDctrl_peak_183
chr1,62922194,62922610,417,62922469,19,5.79295,3.05878,2.78697,CMP_KDctrl_peak_184
chr1,63160559,63161143,585,63160889,163,8.28743,1.60903,4.9334,CMP_KDctrl_peak_185
chr1,63168158,63168674,517,63168670,92,4.40105,1.53229,1.63819,CMP_KDctrl_peak_186
chr1,63172741,63173268,528,63172928,56,6.14342,1.98656,3.08653,CMP_KDctrl_peak_187
chr1,63176781,63177607,827,63176782,60,4.13801,1.66245,1.418,CMP_KDctrl_peak_188
chr1,64098661,64099154,494,64098925,57,12.78354,2.98019,8.90415,CMP_KDctrl_peak_189
chr1,64168425,64168817,393,64168425,383,4.15297,1.21962,1.43069,CMP_KDctrl_peak_190
chr1,64364855,64365191,337,64365175,14,7.02386,4.21017,3.83708,CMP_KDctrl_peak_191
chr1,65154242,65154736,495,65154521,81,8.68896,2.03044,5.28309,CMP_KDctrl_peak_192
chr1,65158782,65159905,1124,65158831,96,11.58513,2.17036,7.83811,CMP_KDctrl_peak_193
chr1,65160196,65160437,242,65160196,84,4.03336,1.52411,1.34584,CMP_KDctrl_peak_194
chr1,65224154,65224388,235,65224387,86,4.06121,1.51948,1.36446,CMP_KDctrl_peak_195
chr1,65225134,65225646,513,65225513,268,17.9805,1.78696,13.59648,CMP_KDctrl_peak_196
chr1,66863744,66864075,332,66864073,405,5.59272,1.26236,2.62043,CMP_KDctrl_peak_197
chr1,67069631,67069871,241,67069658,18,4.60781,2.65588,1.80506,CMP_KDctrl_peak_198
chr1,69378247,69378691,445,69378370,59,8.91644,2.3423,5.48418,CMP_KDctrl_peak_199
chr1,69562614,69562856,243,69562815,22,4.94354,2.55552,2.07747,CMP_KDctrl_peak_200
chr1,69684829,69685143,315,69684836,34,4.9113,2.13612,2.05055,CMP_KDctrl_peak_201
chr1,71768834,71769278,445,71769066,17,6.15073,3.39126,3.09193,CMP_KDctrl_peak_202
chr1,71769542,71769959,418,71769771,32,4.87853,2.17763,2.02364,CMP_KDctrl_peak_203
chr1,72242629,72243201,573,72242885,43,9.21621,2.7902,5.74762,CMP_KDctrl_peak_204
chr1,72272954,72273380,427,72273089,126,11.06639,1.91751,7.3773,CMP_KDctrl_peak_205
chr1,72283122,72284022,901,72283546,90,14.13583,2.48004,10.11701,CMP_KDctrl_peak_206
chr1,72301448,72301802,355,72301802,271,4.0149,1.26058,1.33341,CMP_KDctrl_peak_207
chr1,73948441,73949040,600,73949032,57,4.87022,1.79094,2.01756,CMP_KDctrl_peak_208
chr1,73961997,73962338,342,73962008,18,5.9499,3.20775,2.92189,CMP_KDctrl_peak_209
chr1,74200232,74200565,334,74200539,28,4.84589,2.28481,1.99935,CMP_KDctrl_peak_210
chr1,74247582,74247884,303,74247843,22,6.1084,2.96035,3.05717,CMP_KDctrl_peak_211
chr1,74283221,74283607,387,74283224,106,4.02475,1.45348,1.33973,CMP_KDctrl_peak_212
chr1,74378108,74378366,259,74378215,30,6.56192,2.6723,3.44248,CMP_KDctrl_peak_213
chr1,74421734,74422149,416,74421762,83,6.43746,1.78137,3.33672,CMP_KDctrl_peak_214
chr1,74438298,74438860,563,74438308,144,7.25948,1.59608,4.04261,CMP_KDctrl_peak_215
chr1,74443229,74443490,262,74443467,87,6.93804,1.8061,3.76632,CMP_KDctrl_peak_216
chr1,74444612,74444931,320,74444627,74,6.67615,1.87281,3.5405,CMP_KDctrl_peak_217
chr1,74552585,74553253,669,74552585,261,3.9844,1.26474,1.30654,CMP_KDctrl_peak_218
chr1,74634431,74634711,281,74634711,250,4.40653,1.29226,1.64308,CMP_KDctrl_peak_219
chr1,74748782,74749096,315,74748988,34,6.53898,2.51377,3.42264,CMP_KDctrl_peak_220
chr1,74834738,74835226,489,74834800,36,8.66509,2.94365,5.26187,CMP_KDctrl_peak_221
chr1,75121343,75121751,409,75121571,233,14.80068,1.74724,10.71559,CMP_KDctrl_peak_222
chr1,75138936,75139614,679,75139276,143,8.46857,1.67589,5.09359,CMP_KDctrl_peak_223
chr1,75176110,75176872,763,75176565,79,8.04801,1.98092,4.72615,CMP_KDctrl_peak_224
chr1,75188768,75189232,465,75188768,202,4.14727,1.31619,1.42615,CMP_KDctrl_peak_225
chr1,75214661,75215765,1105,75215761,100,5.08956,1.56867,2.20139,CMP_KDctrl_peak_226
chr1,75432670,75433283,614,75432675,68,5.12267,1.73498,2.22824,CMP_KDctrl_peak_227
chr1,75518147,75518549,403,75518184,158,17.52215,2.14193,13.178,CMP_KDctrl_peak_228
chr1,77040584,77040886,303,77040879,21,4.47605,2.44441,1.69783,CMP_KDctrl_peak_229
chr1,78485195,78485698,504,78485509,186,4.49735,1.35279,1.71429,CMP_KDctrl_peak_230
chr1,78533564,78534134,571,78533568,119,5.63371,1.55221,2.65601,CMP_KDctrl_peak_231
chr1,78699124,78699529,406,78699529,132,4.14847,1.40681,1.42724,CMP_KDctrl_peak_232
chr1,79668000,79668473,474,79668041,146,9.38729,1.72315,5.89766,CMP_KDctrl_peak_233
chr1,79679849,79680088,240,79679955,25,6.21167,2.81287,3.14436,CMP_KDctrl_peak_234
chr1,79707538,79708042,505,79708041,126,5.79411,1.54441,2.78792,CMP_KDctrl_peak_235
chr1,79735683,79737038,1356,79736457,41,5.40222,2.09192,2.4616,CMP_KDctrl_peak_236
chr1,79758890,79759576,687,79759570,46,4.67252,1.87997,1.86061,CMP_KDctrl_peak_237
chr1,79858278,79858551,274,79858363,87,7.06642,1.81873,3.87309,CMP_KDctrl_peak_238
chr1,80022627,80023261,635,80022709,104,16.1292,2.4863,11.91346,CMP_KDctrl_peak_239
chr1,80176944,80177686,743,80177562,29,10.29952,3.84762,6.69915,CMP_KDctrl_peak_240
chr1,80359219,80359623,405,80359221,39,4.71129,1.99231,1.89158,CMP_KDctrl_peak_241
chr1,80368422,80368810,389,80368499,29,6.36691,2.66244,3.2759,CMP_KDctrl_peak_242
chr1,80380472,80380894,423,80380626,65,6.12916,1.88651,3.07432,CMP_KDctrl_peak_243
chr1,80410804,80411227,424,80411048,20,5.75557,2.96864,2.75597,CMP_KDctrl_peak_244
