# This file is generated by MACS version 2.1.0.20150420,,,,,,,,,,,,
# Command line: callpeak -t /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R1.q30.fixed.dedup.bam -c /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C1.q30.fixed.dedup.bam -f BAMPE -g mm -n Stem_KDctrl -q 0.05 --outdir /group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/peaks -B,,,,,,,,,,,,
# ARGUMENTS LIST:,,,,,,,,,,,,
# name = Stem_KDctrl,,,,,,,,,,,,
# format = BAMPE,,,,,,,,,,,,
# ChIP-seq file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/R1.q30.fixed.dedup.bam'],,,,,,,,,,,,
# control file = ['/group/mcnerney-lab/imgruet/MI014/trimmed/2remdup/C1.q30.fixed.dedup.bam'],,,,,,,,,,,,
# effective genome size = 1.87e+09,,,,,,,,,,,,
# band width = 300,,,,,,,,,,,,
"# model fold = [5, 50]",,,,,,,,,,,,
# qvalue cutoff = 5.00e-02,,,,,,,,,,,,
# Larger dataset will be scaled towards smaller dataset.,,,,,,,,,,,,
# Range for calculating regional lambda is: 1000 bps and 10000 bps,,,,,,,,,,,,
# Broad region calling is off,,,,,,,,,,,,
,,,,,,,,,,,,
# fragment size is determined as 253 bps,,,,,,,,,,,,
# total fragments in treatment: 11424929,,,,,,,,,,,,
# fragments after filtering in treatment: 11005168,,,,,,,,,,,,
# maximum duplicate fragments in treatment = 1,,,,,,,,,,,,
# Redundant rate in treatment: 0.04,,,,,,,,,,,,
# total fragments in control: 14367738,,,,,,,,,,,,
# fragments after filtering in control: 13596558,,,,,,,,,,,,
# maximum duplicate fragments in control = 1,,,,,,,,,,,,
# Redundant rate in control: 0.05,,,,,,,,,,,,
# d = 253,,,,,,,,,,,,
chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name,,,
chr9,29945349,29945750,402,29945698,31,6.76194,2.68299,2.05724,Stem_KDctrl_peak_97,,,
chrM,138,6593,6456,6342,44375,3308.56787,1.91374,3301.146,Stem_KDctrl_peak_98,,,
chrM,10835,16145,5311,14738,46113,1870.27649,1.59273,1863.5813,Stem_KDctrl_peak_99,,,
chrX,20938132,20938605,474,20938280,29,8.94696,3.41621,3.93918,Stem_KDctrl_peak_100,,,
chrX,51137580,51137914,335,51137903,39,7.77928,2.62601,2.90738,Stem_KDctrl_peak_101,,,
chrX,53269991,53270319,329,53270308,65,7.62633,2.07825,2.77484,Stem_KDctrl_peak_102,,,
chrX,93908297,93909034,738,93908819,50,9.63704,2.65463,4.56306,Stem_KDctrl_peak_103,,,
chrX,95345487,95345829,343,95345501,30,6.62915,2.69043,1.94324,Stem_KDctrl_peak_104,,,
chrX,120119181,120119467,287,120119415,72,7.56856,1.99377,2.72269,Stem_KDctrl_peak_105,,,
chrX,120128955,120129323,369,120129294,70,8.0902,2.07689,3.17961,Stem_KDctrl_peak_106,,,
chrX,121306951,121307933,983,121307335,172,18.13563,2.1009,12.83669,Stem_KDctrl_peak_107,,,
chrY,1265830,1266234,405,1266204,145,15.59022,2.1039,10.31219,Stem_KDctrl_peak_108,,,
chrY,1267921,1268289,369,1267931,97,11.93112,2.192,6.72955,Stem_KDctrl_peak_109,,,
chrY,2853297,2853606,310,2853605,119,6.15986,1.59288,1.59277,Stem_KDctrl_peak_110,,,
chrY,2857385,2858005,621,2857987,186,7.88124,1.53781,3.00013,Stem_KDctrl_peak_111,,,
chrY,2858366,2858772,407,2858434,188,14.01716,1.83347,8.76339,Stem_KDctrl_peak_112,,,
chrY,2876487,2877041,555,2876974,287,6.04835,1.33898,1.50121,Stem_KDctrl_peak_113,,,
chrY,2886832,2887124,293,2886982,180,6.93187,1.49844,2.19674,Stem_KDctrl_peak_114,,,
chrY,2888089,2888674,586,2888300,185,6.57564,1.47084,1.90448,Stem_KDctrl_peak_115,,,
chrY,2892087,2892685,599,2892454,269,15.228,1.69126,9.95432,Stem_KDctrl_peak_116,,,
